src_ip,_time,c_timestamp,c_cggt,c_imsi,f_c_ossn_others,f_same_cggt_is_gmlc_oc,f_same_cggt_is_gmlc_ossn,f_same_cggt_is_hlr_oc,f_same_cggt_is_hlr_ossn,f_count_ok_cl_between2lu,f_count_ok_psi_between2lu,f_velocity_greater_than_1000,f_count_unloop_country_last_x_hours_ul,f_count_gap_ok_sai_and_all_lu,f_count_ok_dsd_between2lu,f_count_ok_fwsm_mo_between2lu,f_count_ok_fwsm_mt_between2lu,f_count_ok_fwsm_report_between2lu,f_count_ok_fwsm_submit_between2lu,f_count_ok_isd_between2lu,f_count_ok_prn_between2lu,f_count_ok_purge_ms_between2lu,f_count_ok_sai_between2lu,f_count_ok_si_between2lu,f_count_ok_sri_between2lu,f_count_ok_srism_between2lu,f_count_ok_ul_between2lu,f_count_ok_ulgprs_between2lu,f_count_ok_ussd_between2lu,f_frequent_ok_cl_between2lu,f_frequent_ok_psi_between2lu,f_frequent_ok_dsd_between2lu,f_frequent_ok_fwsm_mo_between2lu,f_frequent_ok_fwsm_mt_between2lu,f_frequent_ok_fwsm_report_between2lu,f_frequent_ok_fwsm_submit_between2lu,f_frequent_ok_isd_between2lu,f_frequent_ok_prn_between2lu,f_frequent_ok_purge_ms_between2lu,f_frequent_ok_sai_between2lu,f_frequent_ok_si_between2lu,f_frequent_ok_sri_between2lu,f_frequent_ok_srism_between2lu,f_frequent_ok_ul_between2lu,f_frequent_ok_ulgprs_between2lu,f_frequent_ok_ussd_between2lu,f_ratio_cl_psi,f_high_activity_5min,f_one_cggt_multi_cdgt_psi
172.16.128.33,2025-05-22 15:26:25,2025-05-22 15:26:25,CGGT_8957,258590504987682,,1,0,0,0,4,3,0,,,1,0,2,1,5,4,4,0,0,3,2,1,4,1,5,0,0,0,1,0,1,1,0,0,0,1,0,0,1,1,0,1,0.19,1,
172.16.128.33,2025-05-22 15:26:25,2025-05-22 15:26:25,CGGT_6517,952815403599542,,0,0,0,0,0,5,0,,,0,4,3,5,0,0,5,5,4,3,5,3,3,2,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1.52,1,
172.16.128.153,2025-05-22 15:26:25,2025-05-22 15:26:25,CGGT_9073,905055711094214,,0,1,0,0,2,0,0,,,4,2,5,4,5,3,5,0,4,4,4,1,3,2,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,2.2,1,
172.16.128.33,2025-05-22 15:26:25,2025-05-22 15:26:25,CGGT_8835,974837064249177,,0,0,1,0,3,4,1,,,1,0,1,3,1,2,2,3,5,3,3,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.54,0,
172.16.128.33,2025-05-22 15:26:25,2025-05-22 15:26:25,CGGT_1943,634571224524421,,0,0,0,0,0,1,0,,,1,4,5,1,0,5,1,1,3,5,2,0,1,3,5,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,0,1.11,0,
172.16.128.153,2025-05-22 15:26:25,2025-05-22 15:26:25,CGGT_3916,286552236836715,,0,0,0,0,0,5,0,,,1,2,3,3,1,0,0,5,1,1,5,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.43,0,
172.16.128.33,2025-05-22 15:26:25,2025-05-22 15:26:25,CGGT_5995,775032335189677,,0,0,0,0,2,2,1,,,0,4,5,2,1,3,0,1,1,5,3,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1.14,1,
172.16.128.33,2025-05-22 15:26:25,2025-05-22 15:26:25,CGGT_7024,690266221158765,,0,0,0,1,2,2,0,,,3,2,5,1,5,1,3,1,0,5,4,5,1,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.1,0,
172.16.128.153,2025-05-22 15:26:25,2025-05-22 15:26:25,CGGT_7806,590325024389814,,1,0,0,0,5,0,0,,,4,2,4,1,2,1,4,0,1,5,5,1,1,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1.93,0,
172.16.128.33,2025-05-22 15:26:25,2025-05-22 15:26:25,CGGT_1372,793845124162699,,1,0,0,0,1,3,0,,,4,3,4,5,4,3,2,4,2,0,4,2,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.93,0,
172.16.128.33,2025-05-22 15:26:25,2025-05-22 15:26:25,CGGT_6284,318375109845965,,0,1,0,0,1,5,0,,,1,4,4,0,2,3,5,3,5,3,2,0,3,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.46,0,
172.16.128.153,2025-05-22 15:26:25,2025-05-22 15:26:25,CGGT_9006,240487898326080,,1,0,1,0,1,2,1,,,0,4,1,1,4,1,1,1,4,2,0,2,2,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0.31,1,
172.16.128.33,2025-05-22 15:26:25,2025-05-22 15:26:25,CGGT_8023,347042383514719,,0,1,0,0,5,4,0,,,3,4,2,4,4,3,2,0,5,1,3,1,5,1,5,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0.97,0,
172.16.128.33,2025-05-22 15:26:25,2025-05-22 15:26:25,CGGT_1302,272162640771542,,0,0,0,0,1,0,0,,,4,2,1,0,1,2,4,1,0,3,5,2,3,2,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0.8,0,
172.16.128.153,2025-05-22 15:26:25,2025-05-22 15:26:25,CGGT_8454,120680473760341,,0,0,0,0,2,2,0,,,5,0,0,2,3,2,1,4,4,1,0,0,3,5,3,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0.68,1,
